employee_id,full_name,id_number,bank_name,branch_code,account_number,account_type,tax_number,hourly_rate,pay_frequency
E1061,Pieter Baloyi,020118XXXX059,Capitec Bank,470010,780727432,Cheque,1519153064,56.63,Monthly
E1062,Bongani Maluleke,040308XXXX060,African Bank,430000,478021613,Savings,3674404286,37.94,Monthly
E1063,Dineo Ndlovu,031019XXXX061,Capitec Bank,470010,755632787,Savings,3223067991,39.87,Monthly
E1064,Nokuthula Manuel,040812XXXX062,Nedbank,198765,558433994,Cheque,2956899950,33.71,Monthly
E1065,Anele Motaung,041203XXXX063,Capitec Bank,470010,684740892,Savings,2921330213,31.34,Monthly
E1066,Zanele Mavuso,850822XXXX064,African Bank,430000,523930122,Savings,3625553408,53.58,Monthly
E1067,Zodwa Dlamini,000327XXXX065,FNB,250655,403082500,Cheque,1177462575,46.6,Monthly
E1068,Nomsa Hendricks,041223XXXX066,Nedbank,198765,282591951,Transmission,2617268849,57.5,Monthly
E1069,Sanele Sibiya,720409XXXX067,FNB,250655,310511069,Savings,2009347868,32.34,Monthly
E1070,Refilwe Van Wyk,011004XXXX068,Capitec Bank,470010,803383255,Savings,1588699961,30.73,Monthly
E1071,Sibusiso Mokoena,040924XXXX069,FNB,250655,569531195,Savings,1711495894,45.82,Monthly
E1072,Elrico Ndlovu,000225XXXX070,FNB,250655,773413011,Savings,2852507530,43.57,Monthly
E1073,Charmaine Hendricks,970102XXXX071,TymeBank,678910,161903744,Savings,2237604496,37.85,Monthly
E1074,Lucky Mahlangu,010714XXXX072,Absa,632005,783753632,Savings,2836581099,30.06,Monthly
E1075,Sibusiso Botha,741021XXXX073,Standard Bank,051001,864080200,Savings,3359593318,31.73,Monthly
E1076,Yusuf Mabaso,040222XXXX074,FNB,250655,540082308,Cheque,2303428279,32.62,Monthly
E1077,Nadia Van Wyk,010221XXXX075,Standard Bank,051001,285478039,Savings,2833619775,36.85,Monthly
E1078,Gift Khumalo,021101XXXX076,TymeBank,678910,429683384,Savings,2084443504,36.62,Monthly
E1079,Musa Sithole,001119XXXX077,Capitec Bank,470010,782950046,Savings,2506331954,39.71,Monthly
E1080,Zodwa Motaung,790820XXXX078,Capitec Bank,470010,327795397,Savings,3020998609,31.2,Monthly
E1081,Neo Sibiya,961224XXXX079,FNB,250655,414511702,Savings,3637442296,36.73,Monthly
E1082,Sindiswa Baloyi,711117XXXX080,TymeBank,678910,246612339,Savings,2599170486,36.38,Monthly
E1083,Xolani Molefe,030503XXXX081,FNB,250655,363829933,Savings,1113182923,30.83,Monthly
E1084,Sanele Dlamini,000812XXXX082,Capitec Bank,470010,571964759,Savings,3026730145,38.01,Monthly
E1085,Nadia Naidoo,011215XXXX083,Standard Bank,051001,414527487,Savings,3770006405,33.86,Monthly
E1086,Refilwe Nkosi,020324XXXX084,Standard Bank,051001,158969190,Savings,2598288891,37.5,Monthly
E1087,Mandla Mthembu,000811XXXX085,Nedbank,198765,914087263,Cheque,1982240594,38.41,Monthly
E1088,Mpho Hendricks,920901XXXX086,Absa,632005,372476384,Savings,3300567345,29.73,Monthly
E1089,Johannes Ngcobo,960720XXXX087,Absa,632005,553590195,Savings,3607298933,33.7,Monthly
E1090,Pieter Van Wyk,020922XXXX088,Capitec Bank,470010,844079031,Savings,1326064264,34.35,Monthly
E1091,P. Van Wyk,020922XXXX088,Capitec Bank,470010,844079031,Savings,1326064264,34.35,Monthly
E1092,Palesa Maluleke,040313XXXX089,Capitec Bank,470010,614999364,Cheque,3244186366,41.78,Monthly
E1093,Ayanda Botha,861206XXXX090,FNB,250655,121121654,Cheque,2441208653,45.62,Monthly
E1094,Sarah Nkosi,720601XXXX091,Capitec Bank,470010,474967159,Cheque,2202837635,31.76,Monthly
E1095,Yusuf Mahlangu,000917XXXX092,Capitec Bank,470010,772627393,Cheque,2748309014,32.27,Monthly
E1096,Zodwa Mavuso,741214XXXX093,Capitec Bank,470010,980580538,Savings,1054763117,33.09,Monthly
E1097,Busisiwe Jacobs,921219XXXX094,Absa,632005,401495812,Savings,2350183800,57.6,Monthly
E1098,B. Jacobs,921219XXXX094,Absa,632005,401495812,Savings,2350183800,57.6,Monthly
E1099,Portia Fourie,010118XXXX095,TymeBank,678910,949976082,Savings,1418430928,32.86,Monthly
E1100,Sarah Tshabalala,930901XXXX096,Nedbank,198765,395603782,Savings,3983814302,33.48,Monthly
E1101,Zanele Molefe,760627XXXX097,Capitec Bank,470010,326083624,Savings,1719808661,34.2,Monthly
E1102,Ayanda Sibiya,020517XXXX098,Capitec Bank,470010,892650123,Savings,1812445924,32.3,Monthly
E1103,Wandile Hendricks,041006XXXX099,FNB,250655,882820125,Savings,1785306267,38.01,Monthly
E1104,Given Tshabalala,041202XXXX100,Capitec Bank,470010,133856893,Savings,1757932298,38.47,Monthly
E1105,Zodwa Jacobs,041103XXXX101,FNB,250655,793830406,Savings,1942683224,33.65,Monthly
E1106,Portia Botha,021205XXXX102,Capitec Bank,470010,836240026,Savings,3923098180,35.96,Monthly
E1107,Sarah Mavuso,040116XXXX103,FNB,250655,102529004,Cheque,1471039123,33.39,Monthly
E1108,Nadia Baloyi,000828XXXX104,FNB,250655,309922477,Savings,3444154556,33.33,Monthly
E1109,Wandile Ngcobo,041016XXXX105,Capitec Bank,470010,173513542,Transmission,2803356808,29.19,Monthly
E1110,Riaan Jacobs,040915XXXX106,Nedbank,198765,769544536,Cheque,1714335738,33.93,Monthly
E1111,Precious Pillay,020825XXXX107,African Bank,430000,527516290,Savings,1662664688,59.23,Monthly
E1112,Palesa Naidoo,921216XXXX108,FNB,250655,213489298,Cheque,2699248135,34.83,Monthly
E1113,Riaan Radebe,881207XXXX109,Standard Bank,051001,237026391,Cheque,2977258304,32.13,Monthly
E1114,Shaun Ndlovu,870812XXXX110,TymeBank,678910,833871353,Cheque,1721428502,47.42,Monthly
E1115,Mpho Dlamini,711023XXXX111,TymeBank,678910,903156725,Savings,2548878043,30.37,Monthly
E1116,Given Mahlangu,030417XXXX112,FNB,250655,171306049,Cheque,2533054149,36.38,Monthly
E1117,Busisiwe Adams,010923XXXX113,Standard Bank,051001,413943470,Savings,3534520966,35.49,Monthly
E1118,Pieter Adams,970821XXXX114,Standard Bank,051001,990611650,Savings,1279512497,37.8,Monthly
E1119,Musa Zulu,750218XXXX115,FNB,250655,608401769,Transmission,1731005705,34.36,Monthly
E1120,Bongani Molefe,981101XXXX116,African Bank,430000,889110257,Cheque,1654771762,30.34,Monthly
E1121,Kagiso Molefe,000405XXXX117,Absa,632005,715985939,Savings,2797829865,36.51,Monthly
E1122,Dineo Tshabalala,720510XXXX118,Standard Bank,051001,187990612,Cheque,3953368835,35.12,Monthly
E1123,Charmaine Jacobs,880516XXXX119,Standard Bank,051001,586590376,Cheque,2163157141,38.74,Monthly
E1124,Thabo Hendricks,011016XXXX120,Capitec Bank,470010,476984888,Savings,3994191513,54.1,Monthly
E1125,Charmaine Mahlangu,020610XXXX121,Standard Bank,051001,187003274,Cheque,2303843832,33.61,Monthly
E1126,Lerato Motaung,000618XXXX122,Standard Bank,051001,889448372,Cheque,3028073435,57.38,Monthly
E1127,L. Motaung,000618XXXX122,Standard Bank,051001,889448372,Cheque,3028073435,57.38,Monthly
E1128,Themba Maluleke,741016XXXX123,Capitec Bank,470010,808796708,Savings,2361956882,35.79,Monthly
E1129,Lucky Mokoena,040823XXXX124,Capitec Bank,470010,218799957,Savings,1768078531,31.88,Monthly
E1130,Neo Ndlovu,711223XXXX125,Nedbank,198765,155625391,Cheque,3615881134,53.62,Monthly
E1131,Musa Mthembu,910724XXXX126,Capitec Bank,470010,173853432,Savings,3996573175,42.55,Monthly
E1132,Kabelo Fourie,880318XXXX127,Nedbank,198765,546994362,Cheque,2467753881,35.96,Monthly
E1133,Mpho Radebe,030828XXXX128,Standard Bank,051001,181702606,Cheque,1413163531,31.18,Monthly
E1134,Nadia Sithole,000702XXXX129,Capitec Bank,470010,637115062,Cheque,1615445454,31.6,Monthly
E1135,Tshepo Pillay,821107XXXX130,FNB,250655,322627309,Savings,1707715495,29.79,Monthly
E1136,Precious Ndlovu,810516XXXX131,Absa,632005,812706641,Savings,2516295748,28.87,Monthly
E1137,Precious Baloyi,001218XXXX132,Capitec Bank,470010,459367065,Cheque,3234143938,32.9,Monthly
E1138,Riaan Fourie,920715XXXX133,Absa,632005,850819282,Savings,3120986172,34.41,Monthly
E1139,Neo Sithole,021108XXXX134,Capitec Bank,470010,999599656,Savings,1494155167,37.22,Monthly
E1140,Zanele Mthembu,850712XXXX135,Absa,632005,245852548,Cheque,3723321268,35.16,Monthly
E1141,Wandile Fourie,870920XXXX136,Nedbank,198765,625324663,Cheque,1261481209,31.01,Monthly
E1142,Sipho Adams,971126XXXX137,Capitec Bank,470010,166952127,Cheque,3919702381,35.13,Monthly
E1143,Wandile Mavuso,810906XXXX138,Standard Bank,051001,706054277,Savings,1966568957,29.07,Monthly
E1144,Fatima Fourie,740802XXXX139,FNB,250655,858469744,Savings,1869801550,29.21,Monthly
E1145,Mpho Botha,861209XXXX140,Capitec Bank,470010,783842122,Cheque,3776148661,30.42,Monthly
E1146,Tshepo Ngcobo,040708XXXX141,FNB,250655,545943171,Savings,2697087822,34.9,Monthly
E1147,Sindiswa Fourie,011126XXXX142,Absa,632005,635875368,Cheque,1619849064,30.73,Monthly
E1148,Sanele Tshabalala,871121XXXX143,African Bank,430000,584153331,Savings,1999501580,29.69,Monthly
E1149,Kagiso Mavuso,040316XXXX144,Capitec Bank,470010,282614793,Transmission,3369402796,32.19,Monthly
E1150,Elrico Mabaso,040112XXXX145,Absa,632005,845606479,Savings,2396689760,31.05,Monthly
E1151,Fatima Botha,740227XXXX146,FNB,250655,987088818,Savings,2445100130,32.05,Monthly
E1152,Neo Van Wyk,000304XXXX147,Capitec Bank,470010,161649159,Savings,3477682346,33.11,Monthly
E1153,Mpho Van Wyk,870521XXXX148,Absa,632005,823663716,Savings,3240536456,30.42,Monthly
E1154,Lerato Manuel,860321XXXX149,Absa,632005,429929586,Cheque,1648095450,33.12,Monthly
E1155,Gift Molefe,751207XXXX150,FNB,250655,288090077,Cheque,3351178031,33.82,Monthly
E1156,Andile Pillay,800221XXXX151,Absa,632005,130517256,Cheque,2314822255,34.03,Monthly
E1157,Sipho Botha,961226XXXX152,FNB,250655,741635162,Savings,3325966270,34.62,Monthly
E1158,Mpho Mokoena,040922XXXX153,Capitec Bank,470010,656169013,Savings,3563245868,47.57,Monthly
E1159,Nomsa Radebe,020512XXXX154,FNB,250655,480341112,Savings,2628855934,32.35,Monthly
E1160,Nomsa Van Wyk,850502XXXX155,Standard Bank,051001,171478757,Savings,2127816714,49.8,Monthly
E1161,Xolani September,940913XXXX156,Capitec Bank,470010,579585986,Savings,1269236354,35.29,Monthly
E1162,Anele Naidoo,931223XXXX157,Standard Bank,051001,499135453,Savings,1249189196,39.71,Monthly
E1163,Zodwa Khumalo,030316XXXX158,African Bank,430000,570042496,Transmission,3995843456,31.74,Monthly
E1164,Thabo Ndlovu,920603XXXX159,Capitec Bank,470010,581960680,Savings,1389772708,29.88,Monthly
E1165,Dineo Dlamini,000919XXXX160,Absa,632005,451703183,Savings,2496011252,48.24,Monthly
E1166,Yusuf Dlamini,920102XXXX161,FNB,250655,258792600,Transmission,1826148133,42.49,Monthly
E1167,Mandla Mabaso,020413XXXX162,Nedbank,198765,679627149,Savings,3508166502,38.31,Monthly
E1168,Gift Radebe,780820XXXX163,FNB,250655,559082416,Savings,2573191537,41.0,Monthly
E1169,Pieter Sibiya,041120XXXX164,TymeBank,678910,755891064,Savings,1237666100,33.56,Monthly
E1170,Precious Maluleke,980425XXXX165,Standard Bank,051001,658003557,Cheque,1973645482,35.23,Monthly
E1171,Michelle Nkosi,020725XXXX166,Standard Bank,051001,802177830,Savings,2656107825,39.24,Monthly
E1172,Sanele Baloyi,030328XXXX167,TymeBank,678910,624224057,Savings,3610334783,57.28,Monthly
E1173,Elrico Sithole,040104XXXX168,Capitec Bank,470010,121832698,Savings,2791676185,56.33,Monthly
E1174,Sindiswa Nkosi,770816XXXX169,Standard Bank,051001,660370370,Cheque,3107849689,35.93,Monthly
E1175,Nokuthula Zulu,821018XXXX170,Standard Bank,051001,945395246,Savings,3050828378,35.25,Monthly
E1176,Katlego Motaung,040626XXXX171,African Bank,430000,795758311,Savings,2439089476,32.04,Monthly
E1177,Sarah Naidoo,040413XXXX172,Capitec Bank,470010,221435623,Cheque,1639975872,52.61,Monthly
E1178,Nokuthula Ngcobo,020607XXXX173,Capitec Bank,470010,144637717,Cheque,1006958846,59.52,Monthly
E1179,Lucky Botha,021017XXXX174,Absa,632005,860328312,Savings,3539650563,35.48,Monthly
E1180,Tshepo Fourie,040319XXXX175,Capitec Bank,470010,850350703,Savings,1110617717,28.98,Monthly
E1181,Mandla Mavuso,970123XXXX176,Capitec Bank,470010,418166957,Savings,1366383002,34.13,Monthly
E1182,Xolani Dlamini,811019XXXX177,FNB,250655,153577590,Cheque,2419782959,35.66,Monthly
E1183,Xolani Baloyi,880528XXXX178,Standard Bank,051001,249131537,Savings,1548220593,35.61,Monthly
E1184,Portia Motaung,030608XXXX179,Capitec Bank,470010,911890677,Cheque,1780346536,37.57,Monthly
E1185,Andile Cele,781202XXXX180,Capitec Bank,470010,224561874,Cheque,3076556126,45.54,Monthly
E1186,Xolani Mavuso,000401XXXX181,FNB,250655,190006284,Savings,1853921111,36.1,Monthly
E1187,Elrico Jacobs,011003XXXX182,Capitec Bank,470010,573252399,Savings,1456430865,32.88,Monthly
E1188,Thabo Ngcobo,010822XXXX183,Capitec Bank,470010,131371148,Transmission,2949405886,34.53,Monthly
E1189,Anele Dlamini,800319XXXX184,FNB,250655,961739279,Savings,2263443899,31.86,Monthly
E1190,Lerato Cele,760808XXXX185,Absa,632005,674003707,Cheque,1525944245,30.05,Monthly
E1191,Riaan Mthembu,800502XXXX186,Absa,632005,477902321,Cheque,1864399301,29.35,Monthly
E1192,Refilwe Tshabalala,850109XXXX187,FNB,250655,597828198,Cheque,3648354969,34.53,Monthly
E1193,Lucky Sibiya,000212XXXX188,Capitec Bank,470010,259271096,Savings,2519347205,35.47,Monthly
E1194,L. Sibiya,000212XXXX188,Capitec Bank,470010,259271096,Savings,2519347205,35.47,Monthly
E1195,Ayanda Mokoena,840605XXXX189,African Bank,430000,641985904,Savings,2274375720,52.99,Monthly
E1196,Andile Motaung,040318XXXX190,Nedbank,198765,821173356,Cheque,3246277307,37.45,Monthly
E1197,Riaan Sibiya,030808XXXX191,Standard Bank,051001,708350008,Cheque,3337007628,29.2,Monthly
E1198,Andile Jacobs,701228XXXX192,Nedbank,198765,428729793,Savings,1104575401,59.52,Monthly
E1199,Elrico Pillay,011005XXXX193,Standard Bank,051001,918712137,Savings,1217651372,31.73,Monthly
E1200,Sindiswa Maluleke,990617XXXX194,Capitec Bank,470010,812120491,Savings,2928475323,34.18,Monthly
E1201,Johannes Sithole,031022XXXX195,Standard Bank,051001,424825837,Cheque,1179881968,32.23,Monthly
E1202,Sindiswa Adams,030924XXXX196,FNB,250655,915358592,Savings,1473836130,38.05,Monthly
E1203,Musa Dlamini,011128XXXX197,Absa,632005,864271523,Savings,2176418951,31.1,Monthly
E1204,Sibusiso Ndlovu,910718XXXX198,Absa,632005,879541256,Savings,1340763065,30.74,Monthly
E1205,Andile Ngcobo,880415XXXX199,Standard Bank,051001,563376303,Savings,2177322525,33.8,Monthly
E1206,Zanele Naidoo,790111XXXX200,Capitec Bank,470010,575127683,Savings,1514700791,31.51,Monthly
E1207,Sipho Motaung,001026XXXX201,Absa,632005,633598406,Savings,2674954817,59.45,Monthly
E1208,Pieter Mokoena,021203XXXX202,Standard Bank,051001,707397949,Savings,3321505718,29.41,Monthly
E1209,Yusuf Molefe,030902XXXX203,FNB,250655,612476344,Savings,3888641512,34.87,Monthly
E1210,Musa Van Wyk,040219XXXX204,FNB,250655,845683038,Transmission,2843912030,47.46,Monthly
E1211,Sarah Sibiya,000225XXXX205,FNB,250655,834465196,Cheque,3682459776,38.41,Monthly
E1212,Portia Cele,020514XXXX206,FNB,250655,657255704,Savings,1519145981,30.08,Monthly
E1213,Themba Zulu,010413XXXX207,FNB,250655,607519183,Savings,3443423979,34.26,Monthly
